Selskap,Kategori,Type,HQ Land,HQ By,Nettside,Email,Karriereside,LinkedIn,Klienter/Fokus,Relevans for profil,Prioritet,Inngangsstrategi
Control Risks,CP-firma,Global Tier-1,UK,London,controlrisks.com,,controlrisks.com/careers,linkedin.com/company/control-risks,"Global risk consultancy, EP, crisis management. 1001-5000 ansatte",Rekrutterer tungt fra militær/etterretning. Diplomatisk/royal-erfaring verdsatt,A,Portal + LinkedIn
GardaWorld,CP-firma,Global Tier-1,Canada,Montreal,gardaworld.com,,jobs.garda.com,linkedin.com/company/gardaworld,"Verdens største private sikkerhetsselskap. 463 EP-jobber. Absorbert Drum Cussac/Crisis24",Rekrutterer SF-veteraner eksplisitt. Fransk opprinnelse - Legion verdsatt,A,Portal (International Jobs)
Constellis,CP-firma,Global Tier-1,USA,Herndon VA,constellis.com,info@constellis.com,constellis.com/careers/,linkedin.com/company/constellis,"50 land. 8700+ ansatte. EP + government contracts. Military Friendly Gold 2026",Military Friendly Gold. Krever militær/LE bakgrunn,A,Portal
Pilgrims Group,CP-firma,Global Tier-1,UK,"Woking, Surrey",pilgrimsgroup.com,info@pilgrims-rmg.com,pilgrimsgroup.com/careers_apply.php,linkedin.com/company/pilgrims-group,"CP, risk management, trening. Olje/gass, media, blue-chip",Ex-militær kjernelag. SIA-godkjent trening,A,CV + cover letter til info@pilgrims-rmg.com
ETS Risk Management,CP-firma,Global Tier-1,USA,Bethesda MD,ets-riskmanagement.com,,Sjekk nettside,linkedin.com/company/ets-global-risk-management,"Elite boutique. 80+ land. Ledelse fra SAS/SRR/MI5",TOPP match - ledelse er ex-SAS/SRR/MI5,A,LinkedIn nettverk / referral
Neptune P2P Group,CP-firma,Maritim/Hybrid,UAE,Dubai,neptunep2pgroup.com,,Via nettside,linkedin.com/company/neptune-p2p-group,"Maritim sikkerhet + CT. GRUNNLAGT av britiske og franske SF-veteraner",DIREKTE kulturell match for Legion-bakgrunn. Topp prioritet,A,Direkte kontakt
Westminster Security,CP-firma,UK Spesialist,UK,London,westminstersecurity.co.uk,,westminstersecurity.co.uk/recruitment/,linkedin.com/company/westminster-security-ltd,"CP for royals, statsoverhoder, HNWI. Krever 5+ år EP + militær",ROYAL PROTECTION spesifikt listet. PERFEKT match,A,Registrer via recruitment-side
AS Solution,CP-firma,Corporate EP,Danmark,København,careers.assolution.com,,careers.assolution.com,linkedin.com/company/as-solutions,"Corporate EP for Fortune 500. 86 land. 501-1000 ansatte",Verdsetter militær bakgrunn eksplisitt. Betalt EP-trening,A,Portal
Gavin de Becker & Associates,CP-firma,Tour/EP,USA,Los Angeles,gdba.com,,gdba.com/join-our-team,linkedin.com/company/gdbaprotects,"Premier US EP. 3x presidential appointee grunnlegger. 49 åpne stillinger. $75K-$130K",GULLSTANDARDEN for kjendis-EP. Militær = kjerneteam,A,Portal - SØKT UMIDDELBART
TorchStone Global,CP-firma,EP Advisory,USA,"Arlington, VA",torchstoneglobal.com,,torchstoneglobal.com/contact-us/careers/,linkedin.com/company/torchstone-global,"Diskret risikomitigering. EP, residential security, OSINT. Sr Security Manager $126K",Elite boutique med høyt respektert ledelse,A,Portal
